id	weight
ไม่จำเป็น	10
ติดตัว	6
พ่อ	198
ยังอยู่	14
เพื่อลูก	31
งานเลี้ยง	5
ตำแหน่ง	26
น้า	5
แพ้ท้อง	5
จริงอยู่	5
มีเรื่อง	37
พัก	39
แรงกดดัน	6
ปู่ย่าตายาย	9
เพื่อนฝูง	11
ไปเที่ยว	28
ขนม	50
รับผิดชอบ	27
เสมอๆ	6
รายจ่าย	14
ไม่มีเวลา	33
ไม่พอ	23
ตัดสิน	8
ใจดี	6
กอด	11
เลิกกัน	20
ไม่สบาย	12
ทะเลาะ	65
เรียนจบ	13
หมู่บ้าน	10
คุณภาพชีวิต	5
ประกัน	20
ค่าเทอม	19
ชีวิตประจำวัน	8
ใช้ชีวิต	25
ทริป	11
นอกบ้าน	11
ลืม	29
ดูแลตัวเอง	10
หัวเราะ	10
ร้องไห้	53
เป็นโรค	6
ซึมเศร้า	12
ใช้เวลา	25
เป็นห่วง	15
รับภาระ	7
หลับ	57
เดิน	57
กระเป๋า	18
ระบาย	30
คุณตา	7
คุณยาย	9
ทำงานนอกบ้าน	12
ภาระ	21
ใช้จ่าย	25
ปั๊ม	30
เตรียม	29
อาบน้ำ	39
แต่งตัว	31
ซักผ้า	17
ตู้เย็น	9
ขับรถ	23
คอม	8
เต็มตัว	10
กลางคืน	8
เคลียร์	13
ตรวจ	22
เปลี่ยนไป	29
หู	6
เสียง	9
ห่าง	26
ว่าง	12
support	12
ผ่า	15
ห้องน้ำ	16
เบื่อ	50
คนกลาง	7
ลำบากใจ	6
เตียง	12
หิว	6
ง่วง	5
รับรู้	7
ทำเป็น	15
กระโดด	9
อิน	16
ซัก	40
อาย	9
สับสน	11
พักผ่อน	11
รพ	17
เช็ค	21
ร่างกาย	12
ปกติ	86
สาเหตุ	10
เครื่องสำอาง	8
ยุ่ง	25
วุ่นวาย	8
อดทน	26
น้อยใจ	20
ความรู้สึก	52
เบื่อหน่าย	8
หนัง	6
พลาด	6
จำเป็นต้อง	7
แต่งงาน	106
กลัว	99
รัก	107
ทีวี	13
หยุด	44
ธุรกิจส่วนตัว	8
รถ	64
